<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,1990.0000000,1999.0000000,1980.0000000,1984.8000000,392692
20210105,000000,1989.0000000,2057.6000000,1979.0000000,2041.8000000,745005
20210106,000000,2039.8000000,2077.0000000,1998.2000000,2005.6000000,825941
20210108,000000,2013.0000000,2037.2000000,2005.0000000,2016.0000000,600224
20210111,000000,2016.0000000,2073.0000000,2006.2000000,2059.0000000,775688
20210112,000000,2063.8000000,2086.6000000,2015.8000000,2044.8000000,554443
20210113,000000,2033.6000000,2049.0000000,2000.2000000,2017.4000000,448602
20210114,000000,2012.2000000,2029.0000000,1940.4000000,1987.8000000,1144165
20210115,000000,1979.2000000,1996.6000000,1950.2000000,1967.0000000,498506
20210118,000000,1964.8000000,1988.0000000,1945.4000000,1958.6000000,485328
20210119,000000,1965.4000000,1969.8000000,1924.0000000,1935.4000000,913306
20210120,000000,1932.6000000,1968.2000000,1925.4000000,1966.2000000,400037
20210121,000000,1962.0000000,1988.0000000,1934.2000000,1950.8000000,887546
20210122,000000,1950.0000000,1963.0000000,1939.0000000,1951.0000000,380923
20210125,000000,1952.0000000,1967.0000000,1943.2000000,1959.8000000,414373
20210126,000000,1959.2000000,1984.0000000,1950.0000000,1979.4000000,491488
20210127,000000,1985.4000000,2010.4000000,1961.2000000,1990.0000000,736262
20210128,000000,1990.0000000,2003.8000000,1965.6000000,1979.2000000,560934
20210129,000000,1974.8000000,1992.8000000,1920.2000000,1962.0000000,587278
20210201,000000,1962.0000000,1987.0000000,1936.0000000,1977.0000000,543961
20210202,000000,1976.0000000,2017.0000000,1971.4000000,1990.4000000,518247
20210203,000000,1998.6000000,2025.0000000,1978.4000000,2014.8000000,448008
20210204,000000,2018.0000000,2041.8000000,2012.2000000,2037.6000000,384430
20210205,000000,2035.2000000,2052.0000000,2023.0000000,2042.0000000,389525
20210208,000000,2042.0000000,2053.2000000,2019.0000000,2023.0000000,370670
20210209,000000,2028.4000000,2035.0000000,2001.0000000,2013.6000000,315689
20210210,000000,2025.8000000,2035.0000000,2010.2000000,2013.6000000,385312
20210211,000000,2019.8000000,2029.8000000,2013.2000000,2020.2000000,233881
20210212,000000,2025.0000000,2032.8000000,1977.0000000,2004.8000000,569616
20210215,000000,2006.0000000,2027.6000000,2004.0000000,2021.2000000,229093
20210216,000000,2024.0000000,2048.0000000,2006.4000000,2039.8000000,441171
20210217,000000,2040.0000000,2053.0000000,2001.0000000,2024.2000000,465231
20210218,000000,2015.2000000,2022.6000000,1993.2000000,1997.4000000,413517
20210219,000000,1997.4000000,2032.8000000,1985.0000000,2018.8000000,286011
20210220,000000,2021.8000000,2025.0000000,2010.0000000,2019.2000000,38733
20210222,000000,2018.0000000,2023.8000000,1996.0000000,2002.4000000,320976
20210224,000000,2003.0000000,2050.0000000,1995.2000000,2041.8000000,602434
20210225,000000,2043.0000000,2047.2000000,2005.0000000,2007.6000000,280794
20210226,000000,2008.0000000,2039.2000000,1987.6000000,2011.4000000,900672
20210301,000000,2017.0000000,2022.2000000,2005.0000000,2013.0000000,207351
20210302,000000,2010.0000000,2031.8000000,1998.0000000,2007.0000000,358293
20210303,000000,2011.0000000,2024.0000000,2001.0000000,2010.0000000,221049
20210304,000000,2016.6000000,2026.6000000,1936.6000000,1938.8000000,663395
20210305,000000,1955.0000000,1955.0000000,1860.0000000,1908.2000000,756607
20210309,000000,1901.8000000,1904.8000000,1860.2000000,1884.0000000,745188
20210310,000000,1884.0000000,1914.6000000,1836.2000000,1851.8000000,797669
20210311,000000,1852.2000000,1871.2000000,1841.2000000,1861.8000000,445134
